car_name,manufacturing_year,milage,ownership,engine cc,fuel_type,"car_price (JPY 10,000)",auction_house
Mitsubishi Mirage,03-Mar-20,252774 kms,1st owner,2000,Hybrid,46.8,SMAP Tokyo
Mazda Demio,05-May-15,117788 kms,2nd owner,3000,Electric,36.8,GAO! Nagoya
Mitsubishi Lancer,21-Jun-05,98640 kms,4th owner,1500,Diesel,6.8,CAA Chubu
Toyota Camry,21-Feb-22,5701 kms,4th owner,2500,Hybrid,66.8,SMAP Tokyo
Toyota Prius,15-Apr-09,179109 kms,1st owner,4500,Diesel,6.8,CAA Chubu
Lexus GX,13-Jun-03,235883 kms,4th owner,4000,Electric,6.8,CAA Chubu
Subaru BRZ,29-Jan-19,243440 kms,2nd owner,1500,Gasoline,6.8,GNN Osaka
Daihatsu Move,03-Aug-12,172686 kms,1st owner,2500,Hybrid,66.8,HAA Kobe
Nissan Patrol,30-Apr-93,263877 kms,1st owner,1500,CNG,16.8,RAA Ryutsu
Daihatsu Mira,23-Aug-05,182615 kms,1st owner,3500,Gasoline,6.8,CAA Chubu
Suzuki Vitara,17-May-18,198596 kms,4th owner,2500,Gasoline,26.8,RAA Ryutsu
Lexus ES,08-Jul-99,20702 kms,2nd owner,2000,Gasoline,6.8,TAA Nagoya
Honda Civic,29-Mar-22,286330 kms,2nd owner,1500,Electric,6.8,IMA East
Nissan Skyline,09-Apr-06,288448 kms,1st owner,2500,CNG,36.8,SMAP Tokyo
Subaru Legacy,12-May-18,144769 kms,3rd owner,660,CNG,6.8,TAA Nagoya
Honda Civic,23-Apr-09,98786 kms,1st owner,4500,Diesel,16.8,ONAA Osaka
Suzuki Vitara,07-Nov-01,116425 kms,4th owner,2000,Hybrid,46.8,USS Tokyo
Subaru Outback,04-Nov-93,132510 kms,1st owner,3000,Hybrid,66.8,HERO Saitama
Nissan Note,23-Jan-18,60007 kms,3rd owner,4000,Gasoline,6.8,RAA Ryutsu
Nissan GTR,26-Sep-02,12730 kms,3rd owner,2000,Diesel,6.8,RAA Ryutsu
Toyota Hiace,06-Jun-18,120250 kms,2nd owner,1500,Gasoline,6.8,RAA Ryutsu
Mazda CX-5,25-Feb-09,145802 kms,4th owner,2500,Hybrid,66.8,GNN Osaka
Suzuki Jimny,28-Sep-17,29328 kms,4th owner,1500,Gasoline,6.8,USS Tokyo
Daihatsu Hijet,27-Nov-96,185163 kms,3rd owner,2000,CNG,16.8,USS Tokyo
Daihatsu Mira,17-Sep-95,201567 kms,2nd owner,1500,CNG,16.8,NTAA Tokyo
Subaru BRZ,26-Mar-21,267774 kms,3rd owner,4500,Hybrid,56.8,GAO! Nagoya
Suzuki Alto,13-Feb-12,123468 kms,4th owner,4000,Hybrid,56.8,GAO! Nagoya
Subaru Legacy,04-Apr-12,57209 kms,1st owner,1500,Hybrid,56.8,RAA Ryutsu
Mazda RX-7,09-Jul-05,140074 kms,1st owner,1500,Gasoline,16.8,HERO Saitama
Mazda RX-7,25-Dec-90,202922 kms,2nd owner,1500,Diesel,6.8,GNN Osaka
Subaru Legacy,04-May-90,288474 kms,1st owner,4500,Hybrid,56.8,USS Tokyo
Mazda Demio,22-Jan-91,261689 kms,1st owner,1500,CNG,6.8,CAA Chubu
Nissan GTR,12-Sep-08,244123 kms,4th owner,3000,Gasoline,26.8,SMAP Tokyo
Mazda Axela,26-Nov-01,77592 kms,1st owner,1500,Diesel,6.8,HAA Kobe
Mitsubishi Lancer,04-Apr-10,104313 kms,1st owner,1500,CNG,6.8,Honda Auto Auction Fukuoka
Suzuki Alto,02-Nov-92,104405 kms,2nd owner,660,Diesel,6.8,CAA Chubu
Nissan Skyline,30-Jun-94,156491 kms,1st owner,2500,Electric,26.8,JU Kanagawa
Honda Civic,15-Mar-02,29314 kms,3rd owner,2500,CNG,26.8,HERO Saitama
Mitsubishi Lancer,31-May-92,31155 kms,4th owner,4000,Gasoline,16.8,ONAA Osaka
Nissan Note,14-Jul-90,283223 kms,2nd owner,1500,Hybrid,56.8,HERO Saitama
Daihatsu Hijet,17-Mar-04,258457 kms,2nd owner,2000,Hybrid,56.8,SMAP Tokyo
Mazda CX-5,20-Jun-03,279321 kms,4th owner,2000,Electric,6.8,LAA Kansai
Lexus GX,14-Jan-15,36983 kms,3rd owner,3500,Hybrid,56.8,KCAA Kyushu
Suzuki Alto,25-Aug-16,298220 kms,4th owner,2500,Hybrid,66.8,GNN Osaka
Subaru Legacy,12-May-17,204104 kms,4th owner,660,Diesel,16.8,SMAP Tokyo
Daihatsu Move,11-Oct-15,34408 kms,1st owner,1500,Hybrid,56.8,JU Kanagawa
Mitsubishi Mirage,29-Mar-22,251305 kms,2nd owner,2500,Electric,36.8,ONAA Osaka
Subaru Legacy,22-Aug-01,133261 kms,3rd owner,3500,CNG,6.8,LAA Kansai
Suzuki Alto,02-Jan-10,257342 kms,4th owner,3000,Gasoline,26.8,GAO! Nagoya
Daihatsu Mira,13-Oct-08,98271 kms,2nd owner,2500,Diesel,26.8,IMA East
Mitsubishi Mirage,06-Sep-02,175280 kms,1st owner,2000,Diesel,6.8,GAO! Nagoya
Mazda CX-5,01-Aug-16,274487 kms,1st owner,3500,Diesel,6.8,GNN Osaka
Honda CR-V,06-May-11,119092 kms,3rd owner,2500,CNG,36.8,RAA Ryutsu
Mazda CX-5,12-Dec-98,204422 kms,4th owner,1500,Gasoline,6.8,SAA Sapporo
Nissan Skyline,23-Aug-01,26078 kms,2nd owner,3000,Gasoline,36.8,ONAA Osaka
Toyota Camry,29-Jul-12,53159 kms,1st owner,1500,CNG,6.8,ONAA Osaka
Daihatsu Tanto,21-Sep-01,273541 kms,2nd owner,1500,CNG,6.8,GAO! Nagoya
Daihatsu Tanto,04-Jul-04,99066 kms,2nd owner,3000,Diesel,26.8,HAA Kobe
Mitsubishi Mirage,26-May-00,275898 kms,2nd owner,4500,Electric,16.8,GNN Osaka
Subaru Legacy,17-Aug-03,179538 kms,3rd owner,4000,Hybrid,46.8,HERO Saitama
Mitsubishi Pajero,18-Feb-98,152306 kms,2nd owner,3000,Electric,26.8,KCAA Kyushu
Nissan Skyline,04-Apr-20,160272 kms,3rd owner,2500,CNG,26.8,RAA Ryutsu
Mitsubishi Mirage,04-Jan-16,54108 kms,4th owner,3500,Electric,6.8,SAA Sapporo
Honda Odyssey,28-Apr-02,178854 kms,3rd owner,3000,CNG,36.8,HERO Saitama
Honda CR-V,25-Jul-00,103230 kms,3rd owner,2000,Hybrid,46.8,HERO Saitama
Honda Fit,30-Jan-93,228833 kms,2nd owner,660,Hybrid,46.8,LAA Kansai
Suzuki Alto,03-Jul-94,233268 kms,3rd owner,3000,Diesel,36.8,KIX Kansai
Mazda Demio,25-Jun-00,195320 kms,3rd owner,3000,CNG,26.8,Honda Auto Auction Fukuoka
Suzuki Vitara,23-Jan-95,288028 kms,2nd owner,2500,Diesel,36.8,TAA Nagoya
Nissan GTR,15-Nov-19,168537 kms,4th owner,4000,CNG,16.8,IMA East
Honda CR-V,25-Mar-09,156149 kms,1st owner,2000,Hybrid,46.8,SMAP Tokyo
Subaru BRZ,06-Oct-97,92535 kms,4th owner,1500,CNG,6.8,KIX Kansai
Toyota Camry,06-Mar-01,217538 kms,4th owner,2500,CNG,36.8,TAA Nagoya
Nissan Skyline,09-Nov-19,182803 kms,3rd owner,3500,CNG,6.8,ONAA Osaka
Lexus IS,30-Jul-07,240329 kms,1st owner,1500,Diesel,16.8,Honda Auto Auction Fukuoka
Toyota Land Cruiser,17-Sep-93,272402 kms,3rd owner,2000,Electric,6.8,NAA Osaka
Mazda RX-7,13-Mar-01,167178 kms,4th owner,3500,CNG,6.8,KIX Kansai
Daihatsu Hijet,31-May-05,229637 kms,3rd owner,3500,Diesel,6.8,Honda Auto Auction Fukuoka
Daihatsu Mira,03-Sep-02,43860 kms,3rd owner,4000,Electric,6.8,KIX Kansai
Lexus IS,13-Jun-01,6441 kms,1st owner,3000,Gasoline,36.8,JU Kanagawa
Mazda RX-7,17-Jan-93,60124 kms,3rd owner,4500,Gasoline,16.8,GNN Osaka
Lexus GX,17-May-09,122311 kms,1st owner,3000,Electric,26.8,HAA Kobe
Suzuki Vitara,26-Apr-97,29784 kms,3rd owner,2500,Hybrid,66.8,USS Tokyo
Suzuki Vitara,06-Dec-07,70747 kms,2nd owner,2500,Diesel,36.8,SAA Sapporo
Toyota Land Cruiser,02-May-05,186052 kms,1st owner,1500,CNG,16.8,TAA Nagoya
Suzuki Alto,12-Sep-13,200775 kms,4th owner,2500,Hybrid,76.8,ONAA Osaka
Toyota Land Cruiser,14-Feb-99,53953 kms,4th owner,2500,Diesel,36.8,NAA Osaka
Suzuki Alto,13-Jan-14,181697 kms,1st owner,4500,Hybrid,46.8,SMAP Tokyo
Mazda RX-7,12-Aug-17,260631 kms,4th owner,1500,Electric,6.8,HAA Kobe
Honda Accord,27-Apr-06,125740 kms,1st owner,3000,Hybrid,66.8,GAO! Nagoya
Lexus ES,30-Oct-13,261774 kms,3rd owner,3000,Hybrid,76.8,USS Tokyo
Daihatsu Mira,16-Dec-93,165642 kms,1st owner,4500,Hybrid,56.8,Honda Auto Auction Fukuoka
Daihatsu Mira,02-Jul-22,279580 kms,3rd owner,2000,Electric,6.8,KCAA Kyushu
Nissan Patrol,28-Nov-96,96859 kms,1st owner,2500,Gasoline,26.8,GNN Osaka
Daihatsu Move,27-Sep-93,103566 kms,4th owner,2000,Hybrid,46.8,Honda Auto Auction Fukuoka
Nissan Note,08-Feb-20,227972 kms,1st owner,4500,Electric,6.8,SMAP Tokyo
Subaru Outback,11-Oct-97,151335 kms,2nd owner,4000,Diesel,16.8,JU Kanagawa
Daihatsu Mira,03-May-98,64913 kms,1st owner,1500,CNG,6.8,Honda Auto Auction Fukuoka
Suzuki Jimny,06-Mar-96,248887 kms,2nd owner,4500,Diesel,6.8,KIX Kansai
Mitsubishi Pajero,19-Mar-05,290081 kms,1st owner,1500,Gasoline,6.8,KIX Kansai
Subaru Impreza,02-Apr-12,207622 kms,2nd owner,3000,Hybrid,76.8,NAA Osaka
Mitsubishi Lancer,06-Apr-11,78090 kms,2nd owner,2000,Diesel,16.8,CAA Chubu
Nissan X-Trail,26-Dec-18,41721 kms,4th owner,2000,CNG,6.8,GNN Osaka
Nissan Skyline,27-Dec-02,177048 kms,4th owner,1500,CNG,16.8,KIX Kansai
Nissan Skyline,11-Oct-22,18500 kms,4th owner,2000,Gasoline,6.8,KCAA Kyushu
Lexus RX,08-Aug-11,131385 kms,1st owner,2500,CNG,36.8,LAA Kansai
Toyota Crown,14-May-22,123775 kms,3rd owner,2000,CNG,16.8,IMA East
Daihatsu Mira,19-Apr-97,168289 kms,1st owner,3500,Hybrid,56.8,GNN Osaka
Daihatsu Tanto,01-Oct-22,131453 kms,2nd owner,3500,Electric,16.8,SAA Sapporo
Lexus IS,16-May-07,124756 kms,4th owner,1500,Electric,16.8,GNN Osaka
Suzuki Swift,07-Jan-18,92805 kms,1st owner,2000,Hybrid,56.8,Honda Auto Auction Fukuoka
Mazda Axela,18-May-92,259788 kms,2nd owner,2000,Hybrid,46.8,Honda Auto Auction Fukuoka
Nissan GTR,28-Aug-21,114130 kms,4th owner,3000,Electric,26.8,ONAA Osaka
Honda Odyssey,14-Jun-16,191578 kms,4th owner,2000,Gasoline,6.8,CAA Chubu
Suzuki Swift,28-May-93,280147 kms,4th owner,2500,Diesel,36.8,HAA Kobe
Subaru BRZ,31-Dec-98,138321 kms,3rd owner,1500,Electric,6.8,GAO! Nagoya
Subaru Outback,08-Feb-05,297274 kms,3rd owner,1500,Electric,16.8,RAA Ryutsu
Mazda CX-5,11-Mar-12,262692 kms,3rd owner,2000,Electric,16.8,JU Kanagawa
Daihatsu Move,29-Nov-07,129483 kms,2nd owner,4000,Electric,6.8,SMAP Tokyo
Daihatsu Move,04-Feb-10,120150 kms,3rd owner,3500,Hybrid,56.8,TAA Nagoya
Mitsubishi Pajero,27-Jan-22,264761 kms,3rd owner,1500,CNG,6.8,HAA Kobe
Nissan X-Trail,27-Apr-17,289877 kms,3rd owner,2500,CNG,36.8,LAA Kansai
Suzuki Vitara,04-Apr-13,166143 kms,2nd owner,3500,Electric,16.8,TAA Nagoya
Honda Accord,12-May-92,255582 kms,3rd owner,3000,CNG,36.8,IMA East
Subaru Impreza,21-Oct-00,39345 kms,2nd owner,4500,Diesel,16.8,ONAA Osaka
Lexus ES,12-Oct-19,219716 kms,2nd owner,660,Diesel,16.8,SAA Sapporo
Lexus GX,08-Feb-02,150073 kms,2nd owner,4000,Electric,16.8,NTAA Tokyo
Mazda Demio,16-Jan-17,29267 kms,3rd owner,3000,Gasoline,36.8,CAA Chubu
Lexus ES,08-Jun-06,298756 kms,4th owner,2000,Gasoline,6.8,ONAA Osaka
Mazda CX-5,21-Apr-95,129847 kms,2nd owner,4000,Hybrid,56.8,HERO Saitama
Mitsubishi Pajero,31-Jul-05,135144 kms,1st owner,3500,CNG,6.8,KIX Kansai
Nissan Note,15-Jun-95,161910 kms,1st owner,1500,Diesel,16.8,USS Tokyo
Mitsubishi Lancer,02-Jul-90,93734 kms,4th owner,4000,Gasoline,16.8,KIX Kansai
Mazda RX-7,09-Oct-15,243810 kms,4th owner,2500,Diesel,36.8,Honda Auto Auction Fukuoka
Suzuki Alto,29-Mar-00,119142 kms,4th owner,2000,Hybrid,46.8,ONAA Osaka
Subaru BRZ,22-Oct-01,108176 kms,2nd owner,4000,Electric,6.8,GNN Osaka
Daihatsu Tanto,18-Jan-14,280880 kms,2nd owner,3000,Electric,26.8,Honda Auto Auction Fukuoka
Mazda CX-5,23-Dec-94,216259 kms,2nd owner,660,Hybrid,56.8,RAA Ryutsu
Subaru BRZ,17-Dec-95,43308 kms,3rd owner,4000,Hybrid,46.8,USS Tokyo
Nissan Note,07-Jan-12,128460 kms,1st owner,4000,CNG,6.8,RAA Ryutsu
Toyota Prius,10-Dec-02,266932 kms,4th owner,4500,Diesel,6.8,NTAA Tokyo
Subaru BRZ,16-Jan-13,30215 kms,2nd owner,2000,Hybrid,46.8,TAA Nagoya
Toyota Vitz,15-Nov-05,237219 kms,1st owner,3500,Gasoline,6.8,KCAA Kyushu
Suzuki Vitara,26-May-01,154652 kms,3rd owner,4000,Diesel,16.8,SAA Sapporo
Toyota Vitz,14-Sep-99,51563 kms,3rd owner,2500,Diesel,26.8,SAA Sapporo
Suzuki Vitara,29-Sep-00,131700 kms,2nd owner,4000,Diesel,16.8,SMAP Tokyo
Subaru Impreza,11-Sep-93,216294 kms,4th owner,2000,Diesel,16.8,SAA Sapporo
Mazda Demio,24-Oct-17,239268 kms,4th owner,4000,Gasoline,16.8,LAA Kansai
Suzuki Vitara,23-Sep-19,61721 kms,2nd owner,3000,CNG,36.8,KCAA Kyushu
Toyota Prius,15-Jul-20,41358 kms,2nd owner,3000,Electric,36.8,LAA Kansai
Subaru Legacy,15-Jul-18,242795 kms,4th owner,4500,Hybrid,46.8,Honda Auto Auction Fukuoka
Honda CR-V,19-Nov-00,296720 kms,4th owner,1500,Gasoline,6.8,GNN Osaka
Suzuki Swift,30-Sep-04,196317 kms,2nd owner,3000,Gasoline,36.8,SAA Sapporo
Mitsubishi Pajero,31-Jul-15,99993 kms,3rd owner,4000,Electric,16.8,KIX Kansai
Daihatsu Move,03-Dec-06,43054 kms,4th owner,4500,Diesel,16.8,HAA Kobe
Daihatsu Tanto,16-Oct-22,104345 kms,3rd owner,4000,CNG,16.8,Honda Auto Auction Fukuoka
Honda Fit,23-Jan-99,6725 kms,4th owner,4000,Electric,16.8,SAA Sapporo
Honda Accord,18-Jan-93,245718 kms,1st owner,1500,Electric,6.8,LAA Kansai
Toyota Hiace,25-Mar-92,194851 kms,2nd owner,1500,Hybrid,56.8,NTAA Tokyo
Lexus GX,13-Aug-18,131037 kms,3rd owner,2500,Gasoline,26.8,Honda Auto Auction Fukuoka
Subaru Outback,07-Jun-14,64019 kms,1st owner,3000,Hybrid,66.8,SAA Sapporo
Subaru Legacy,15-Sep-93,145628 kms,2nd owner,4000,CNG,6.8,NAA Osaka
Nissan X-Trail,02-Jun-96,126892 kms,3rd owner,3000,Hybrid,66.8,Honda Auto Auction Fukuoka
Suzuki Vitara,09-Oct-20,63900 kms,4th owner,2500,Diesel,36.8,NTAA Tokyo
Toyota Hiace,27-May-13,160305 kms,4th owner,2500,Hybrid,76.8,LAA Kansai
Nissan Note,05-Aug-01,292854 kms,2nd owner,3500,Diesel,6.8,SAA Sapporo
Subaru Outback,29-Jul-05,258828 kms,1st owner,1500,CNG,16.8,IMA East
Nissan Patrol,08-Apr-16,218411 kms,1st owner,3000,Gasoline,26.8,RAA Ryutsu
Mazda Axela,10-May-21,276510 kms,3rd owner,4000,Diesel,16.8,TAA Nagoya
Daihatsu Mira,27-Nov-07,61997 kms,3rd owner,1500,Hybrid,56.8,TAA Nagoya
Suzuki Vitara,18-Sep-95,44747 kms,4th owner,1500,Hybrid,56.8,KCAA Kyushu
Mitsubishi Lancer,11-Oct-11,281220 kms,1st owner,4000,CNG,6.8,NAA Osaka
Daihatsu Hijet,24-Jun-14,228844 kms,3rd owner,4000,Electric,6.8,JU Kanagawa
Lexus RX,19-Oct-92,112103 kms,4th owner,1500,Hybrid,46.8,NTAA Tokyo
Nissan Skyline,12-Jul-16,185073 kms,4th owner,3500,Gasoline,6.8,USS Tokyo
Mitsubishi Lancer,22-Jan-14,94599 kms,4th owner,2500,Gasoline,36.8,ONAA Osaka
Subaru BRZ,01-Oct-12,205125 kms,1st owner,1500,CNG,16.8,GAO! Nagoya
Nissan X-Trail,02-Oct-21,278413 kms,2nd owner,3000,Hybrid,76.8,JU Kanagawa
Lexus IS,29-Sep-93,87236 kms,3rd owner,1500,Gasoline,6.8,GNN Osaka
Subaru BRZ,12-Dec-94,192031 kms,1st owner,2500,Hybrid,66.8,IMA East
Toyota Land Cruiser,27-May-98,94997 kms,4th owner,3000,CNG,26.8,KCAA Kyushu
Honda Civic,13-Mar-12,125943 kms,3rd owner,660,Gasoline,6.8,HAA Kobe
Subaru Impreza,08-Sep-22,11605 kms,1st owner,4000,Electric,16.8,CAA Chubu
Lexus ES,23-Feb-22,104508 kms,4th owner,2000,Gasoline,16.8,GAO! Nagoya
Subaru Outback,31-Mar-07,66794 kms,3rd owner,2500,Hybrid,76.8,HERO Saitama
Mazda CX-5,19-Feb-22,140221 kms,2nd owner,3500,CNG,16.8,GAO! Nagoya
Mazda CX-5,12-Apr-98,176526 kms,2nd owner,1500,Gasoline,6.8,NAA Osaka
Suzuki Vitara,30-Jan-92,31546 kms,1st owner,3500,Diesel,6.8,SAA Sapporo
Daihatsu Mira,18-Oct-16,29393 kms,2nd owner,3500,CNG,16.8,USS Tokyo
Mitsubishi Pajero,30-Aug-11,82683 kms,4th owner,3500,Electric,16.8,GAO! Nagoya
Lexus GX,27-Feb-04,278374 kms,2nd owner,3500,Diesel,6.8,HAA Kobe
Mitsubishi Mirage,19-Aug-06,110232 kms,4th owner,3500,Diesel,16.8,KCAA Kyushu
Honda Civic,04-Nov-00,213759 kms,4th owner,3000,Hybrid,76.8,HAA Kobe
Lexus RX,05-Aug-12,170896 kms,1st owner,1500,Diesel,16.8,LAA Kansai
Honda Fit,16-May-16,48178 kms,4th owner,1500,Hybrid,56.8,IMA East
Suzuki Vitara,04-Feb-04,70130 kms,2nd owner,2000,Diesel,6.8,SMAP Tokyo
Daihatsu Hijet,21-Oct-96,256060 kms,1st owner,1500,Hybrid,46.8,HAA Kobe
Lexus ES,17-Oct-94,27115 kms,4th owner,4000,Hybrid,56.8,LAA Kansai
Mazda Axela,18-Apr-05,101758 kms,4th owner,3000,Gasoline,36.8,JU Kanagawa
Mitsubishi Pajero,21-Sep-12,156234 kms,4th owner,3000,Electric,36.8,TAA Nagoya
Honda Fit,19-Feb-14,47353 kms,3rd owner,3000,CNG,36.8,NAA Osaka
Mazda CX-5,20-Feb-01,49820 kms,3rd owner,1500,Hybrid,46.8,HERO Saitama
Mazda RX-7,10-Jan-98,236618 kms,4th owner,4500,Electric,6.8,NTAA Tokyo
Toyota Hiace,26-Apr-92,201987 kms,3rd owner,4000,Hybrid,56.8,HERO Saitama
Mitsubishi Pajero,28-Feb-98,77702 kms,2nd owner,4000,CNG,16.8,TAA Nagoya
Nissan Note,20-Oct-02,241206 kms,2nd owner,3500,Hybrid,56.8,ONAA Osaka
Toyota Vitz,05-Jun-02,195483 kms,1st owner,2500,Electric,26.8,HERO Saitama
Subaru Outback,17-Nov-18,27465 kms,4th owner,2500,Hybrid,76.8,Honda Auto Auction Fukuoka
Subaru Impreza,11-Dec-10,51403 kms,4th owner,1500,Hybrid,46.8,RAA Ryutsu
Subaru Legacy,01-Jan-95,126455 kms,1st owner,3500,Electric,16.8,GNN Osaka
Mitsubishi Mirage,20-Nov-94,195545 kms,1st owner,3000,Gasoline,26.8,CAA Chubu
Honda Fit,26-Oct-17,155928 kms,3rd owner,2000,Hybrid,56.8,TAA Nagoya
Daihatsu Move,01-Feb-16,137233 kms,4th owner,1500,Diesel,6.8,SMAP Tokyo
Mazda RX-7,14-Dec-91,281806 kms,4th owner,2500,Hybrid,76.8,KIX Kansai
Suzuki Swift,16-Jun-09,57752 kms,1st owner,3000,Electric,26.8,TAA Nagoya
Mazda CX-5,08-May-04,110509 kms,2nd owner,1500,CNG,6.8,KCAA Kyushu
Daihatsu Tanto,05-Oct-96,104853 kms,3rd owner,3500,Hybrid,56.8,JU Kanagawa
Mitsubishi Lancer,22-Mar-18,85775 kms,2nd owner,4500,Gasoline,16.8,JU Kanagawa
Toyota Vitz,28-Apr-04,132520 kms,2nd owner,4500,Electric,6.8,HAA Kobe
Lexus RX,16-Aug-06,277104 kms,2nd owner,660,Diesel,16.8,NAA Osaka
Suzuki Swift,22-Sep-90,188968 kms,2nd owner,2500,Gasoline,36.8,KIX Kansai
Suzuki Alto,25-Jan-07,116581 kms,2nd owner,3000,Electric,26.8,GNN Osaka
Nissan GTR,04-Feb-04,11227 kms,3rd owner,4000,Electric,6.8,JU Kanagawa
Honda Odyssey,22-Aug-06,73438 kms,4th owner,2000,Electric,16.8,HAA Kobe
Lexus IS,02-Mar-94,69840 kms,1st owner,3500,Hybrid,46.8,GAO! Nagoya
Honda Fit,31-Dec-20,138956 kms,4th owner,3500,Hybrid,56.8,USS Tokyo
Suzuki Vitara,20-Feb-11,176440 kms,3rd owner,3000,Electric,26.8,ONAA Osaka
Mitsubishi Lancer,14-Sep-14,208656 kms,4th owner,4000,CNG,16.8,SMAP Tokyo
Nissan Altima,30-Jul-97,117102 kms,1st owner,4500,Electric,16.8,GAO! Nagoya
Lexus GX,09-Dec-97,94065 kms,4th owner,3000,CNG,26.8,TAA Nagoya
Mazda Demio,10-Jul-01,235410 kms,4th owner,3000,Diesel,36.8,HAA Kobe
Lexus IS,11-Mar-99,257566 kms,1st owner,3000,Electric,26.8,KIX Kansai
Toyota Corolla,19-Oct-08,96099 kms,1st owner,4000,Diesel,6.8,USS Tokyo
Nissan X-Trail,19-Aug-03,261297 kms,3rd owner,3000,Hybrid,66.8,IMA East
Lexus ES,27-Jun-13,44288 kms,2nd owner,1500,Gasoline,16.8,NTAA Tokyo
Mazda Axela,12-Sep-94,246271 kms,3rd owner,660,Hybrid,56.8,SAA Sapporo
Suzuki Swift,24-Jun-13,198588 kms,2nd owner,3000,Gasoline,26.8,ONAA Osaka
Toyota Corolla,14-Apr-19,41434 kms,3rd owner,2000,Gasoline,16.8,IMA East
Honda Civic,04-Aug-04,49433 kms,2nd owner,2500,Gasoline,36.8,RAA Ryutsu
Mazda CX-5,14-May-19,238282 kms,4th owner,2500,Hybrid,66.8,NAA Osaka
Honda CR-V,06-Jun-19,284537 kms,4th owner,2000,Diesel,16.8,HERO Saitama
Toyota Prius,08-Sep-99,94129 kms,2nd owner,1500,Hybrid,46.8,NTAA Tokyo
Nissan Skyline,28-Jun-11,244654 kms,3rd owner,4000,CNG,6.8,SMAP Tokyo
Daihatsu Tanto,10-Jul-06,107456 kms,2nd owner,2500,Hybrid,76.8,SAA Sapporo
Suzuki Jimny,28-Apr-18,202816 kms,1st owner,4500,Electric,6.8,Honda Auto Auction Fukuoka
Suzuki Jimny,17-Aug-95,83441 kms,3rd owner,2500,Electric,36.8,ONAA Osaka
Nissan X-Trail,25-Aug-16,58431 kms,3rd owner,3500,Gasoline,16.8,JU Kanagawa
Daihatsu Hijet,13-Jan-14,123579 kms,1st owner,4500,Electric,6.8,CAA Chubu
Toyota Corolla,30-Dec-16,158251 kms,2nd owner,4000,Hybrid,46.8,KCAA Kyushu
Mitsubishi Pajero,21-May-11,42369 kms,1st owner,3500,Diesel,6.8,JU Kanagawa
Suzuki Alto,30-Jan-99,35509 kms,3rd owner,1500,Gasoline,16.8,RAA Ryutsu
Honda Accord,04-Aug-20,262966 kms,3rd owner,4000,Gasoline,16.8,GNN Osaka
Mitsubishi Mirage,21-Jun-16,83783 kms,2nd owner,2000,Diesel,6.8,KCAA Kyushu
Honda CR-V,28-May-99,50976 kms,2nd owner,3000,Diesel,36.8,TAA Nagoya
Subaru Outback,06-Feb-06,47634 kms,4th owner,4000,Hybrid,46.8,GAO! Nagoya
Lexus ES,25-Oct-13,120307 kms,4th owner,3500,Electric,16.8,GAO! Nagoya
Toyota Land Cruiser,08-Sep-20,96111 kms,1st owner,1500,Electric,16.8,SAA Sapporo
Subaru Legacy,20-Jun-97,201689 kms,1st owner,2000,CNG,6.8,SMAP Tokyo
Honda Fit,26-Mar-12,283578 kms,2nd owner,2500,Electric,26.8,HERO Saitama
Toyota Vitz,22-Nov-14,56481 kms,1st owner,1500,Hybrid,56.8,LAA Kansai
Lexus ES,24-Dec-20,92632 kms,3rd owner,2500,Diesel,36.8,CAA Chubu
Subaru BRZ,01-Nov-02,231280 kms,4th owner,2500,Hybrid,76.8,NTAA Tokyo
Mitsubishi Mirage,04-Jul-92,272396 kms,4th owner,1500,Hybrid,46.8,KIX Kansai
Mitsubishi Pajero,22-Dec-05,141084 kms,4th owner,2000,Hybrid,46.8,GAO! Nagoya
Mitsubishi Mirage,30-Dec-10,158713 kms,2nd owner,4000,Hybrid,56.8,TAA Nagoya
Nissan GTR,13-Mar-13,220346 kms,1st owner,4000,Hybrid,46.8,HAA Kobe
Mazda CX-5,04-Dec-17,265328 kms,3rd owner,4000,CNG,6.8,GNN Osaka
Mazda CX-5,05-Feb-05,176729 kms,2nd owner,2000,Hybrid,46.8,HERO Saitama
Suzuki Jimny,08-Feb-22,51673 kms,2nd owner,3500,Diesel,6.8,Honda Auto Auction Fukuoka
Mazda Axela,27-Aug-98,19823 kms,3rd owner,2000,Diesel,16.8,LAA Kansai
Toyota Hiace,11-Mar-98,277984 kms,4th owner,4000,Diesel,16.8,GNN Osaka
Mitsubishi Mirage,17-Oct-19,277754 kms,3rd owner,3500,Gasoline,16.8,KIX Kansai
Subaru Impreza,04-Mar-20,119224 kms,1st owner,3000,CNG,36.8,HAA Kobe
Mitsubishi Pajero,28-Jan-21,31723 kms,1st owner,1500,Gasoline,16.8,SAA Sapporo
Nissan Altima,17-Jun-98,144784 kms,2nd owner,2500,Hybrid,76.8,HERO Saitama
Mitsubishi Pajero,08-Sep-02,168538 kms,3rd owner,3000,CNG,36.8,USS Tokyo
Subaru BRZ,16-Sep-99,263523 kms,1st owner,3000,Diesel,36.8,HERO Saitama
Honda CR-V,22-May-18,253568 kms,3rd owner,3000,Gasoline,36.8,HAA Kobe
Suzuki Swift,07-Nov-14,220985 kms,2nd owner,3000,CNG,36.8,KIX Kansai
Nissan GTR,03-Mar-06,268816 kms,3rd owner,3500,Hybrid,56.8,GAO! Nagoya
Toyota Prius,27-Jun-10,11086 kms,3rd owner,3000,Gasoline,36.8,USS Tokyo
